title,projectname,builder,price,per_sqft,area,status,place
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,10600000,"5,800 / sq ft",1830,Under Construction,Jeedimetla
Residential Plot,IRA Aerocity,Ira Reality,12400000,"5,001 / sq ft",2485,New,Shamshabad
Residential Plot,IRA Aerocity,Ira Reality,17800000,"5,001 / sq ft",3576,New,Shamshabad
4  BHK  Apartment,Hallmark Treasor,Hallmark Builders,28200000,"7,999 / sq ft",3530,Under Construction,Gandipet
2  BHK  Apartment,Merlion Galaxia,Merlion Builders,7141000,"5,600 / sq ft",1275,Under Construction,Nizampet
2  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,7942000,"6,200 / sq ft",1281,Ready to move,Manikonda
3  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,7569000,"5,800 / sq ft",1305,Under Construction,Saidabad
2  BHK  Apartment,Kalpataru Avante,Kalpataru Group,12200000,"9,606 / sq ft",1270,Under Construction,Sanath Nagar
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11299999,"6,400 / sq ft",1780,Under Construction,Manikonda
3  BHK  Apartment,Candeur Crescent,Candeur Developers And Builders,19900000,"7,810 / sq ft",2548,Under Construction,Serilingampally
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11500000,"6,400 / sq ft",1803,Under Construction,Manikonda
2  BHK  Apartment,Vasavi Metropolis,Vasavi Group,6811000,"5,700 / sq ft",1195,Under Construction,Uppal Kalan
3  BHK  Apartment,IRA Miracle,Ira Reality,13000000,"5,299 / sq ft",2455,Under Construction,Kollur
3  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,12200000,"6,350 / sq ft",1932,Under Construction,Manikonda
3  BHK  Apartment,Signature Altius,Signature Avenues,9373000,"4,999 / sq ft",1875,Under Construction,Kollur
2  BHK  Apartment,Signature Altius,Signature Avenues,7748000,"4,999 / sq ft",1550,Under Construction,Kollur
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,16800000,"6,899 / sq ft",2440,Under Construction,Attapur
2  BHK  Apartment,Primark De Stature,Primark Projects Pvt Ltd,5497000,"4,699 / sq ft",1170,Under Construction,Kompally
1  BHK  Apartment,Pacifica Hillcrest,seller,9900000,"7,081 / sq ft",1398,Ready to move,Nanakramguda
Residential Plot,Haripriya Ohana,Haripriya Developers,25700000,"7,222 / sq ft",3564,New,Kompally
4  BHK  Villa,NR Infra Ultimus,NR Infra Projects,9998000,"4,999 / sq ft",2000,Ready to move,Rameswaram Banda
2  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,7134000,"5,800 / sq ft",1230,Under Construction,Jeedimetla
3  BHK  Apartment,Syamantaka Emerald Heights,Symantaka Infra,7884000,"5,400 / sq ft",1460,Under Construction,Bachupally
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,11100000,"6,899 / sq ft",1615,Under Construction,Attapur
3  BHK  Apartment,Merlion Galaxia,Merlion Builders,10300000,"5,599 / sq ft",1853,Under Construction,Nizampet
